ENTIDAD,Mes,Precipitacion,Ano
SANTO DOMINGO,1,11.9,2005
MONTERO,1,1.6,2005
HUANCABAMBA,1,3.1,2005
CANCHAQUE,1,18.1,2005
CARMEN DE LA FRONTERA,1,17.9,2005
HUARMACA,1,13.6,2005
LALAQUIZ,1,4.8,2005
SAN MIGUEL DEL FAIQUE,1,16.8,2005
SAPILLICA,1,10.5,2005
SONDOR,1,16.6,2005
SONDORILLO,1,63.9,2005
AYABACA,1,32.4,2005
FRIAS,1,14.4,2005
JILILÍ,1,1,2005
LAGUNAS,1,38.5,2005
PACAIPAMPA,1,3,2005
PAIMAS,1,1.6,2005
PAITA,2,46.7,2005
AMOTAPE,2,90.3,2005
COLÁN,2,0.2,2005
EL ARENAL,2,3.5,2005
CHULUCANAS,2,38.7,2005
BUENOS AIRES,2,10.4,2005
LA HUACA,2,19.7,2005
TAMARINDO,2,50.7,2005
VICHAYAL,2,4.5,2005
CHALACO,2,20.5,2005
MORROPÓN,2,12.8,2005
SALITRAL,2,0.3,2005
SAN JUAN DE BIGOTES,2,14.5,2005
SANTA CATALINA DE MOSSA,2,16.7,2005
LA MATANZA,2,3.4,2005
SANTO DOMINGO,2,10.4,2005
MONTERO,2,0.1,2005
HUANCABAMBA,2,48.2,2005
CANCHAQUE,2,83.7,2005
CARMEN DE LA FRONTERA,2,17.4,2005
HUARMACA,2,20.8,2005
LALAQUIZ,2,5.5,2005
SAN MIGUEL DEL FAIQUE,2,19.1,2005
SAPILLICA,2,38.8,2005
SONDOR,2,78.9,2005
SONDORILLO,2,29,2005
AYABACA,2,48.1,2005
FRIAS,2,58.4,2005
JILILÍ,2,4.3,2005
LAGUNAS,2,48.9,2005
PACAIPAMPA,2,6.1,2005
PAIMAS,2,46.2,2005
PAITA,3,6.6,2005
AMOTAPE,3,21.8,2005
COLÁN,3,0,2005
EL ARENAL,3,7.9,2005
CHULUCANAS,3,20.1,2005
BUENOS AIRES,3,3.1,2005
LA HUACA,3,33.8,2005
TAMARINDO,3,5.2,2005
VICHAYAL,3,3.9,2005
CHALACO,3,2.2,2005
MORROPÓN,3,21,2005
SALITRAL,3,2.8,2005
SAN JUAN DE BIGOTES,3,11.3,2005
SANTA CATALINA DE MOSSA,3,3.4,2005
LA MATANZA,3,4.5,2005
SANTO DOMINGO,3,20.5,2005
MONTERO,3,5.3,2005
HUANCABAMBA,3,2.4,2005
CANCHAQUE,3,30.6,2005
CARMEN DE LA FRONTERA,3,11.2,2005
HUARMACA,3,22.2,2005
LALAQUIZ,3,15.2,2005
SAN MIGUEL DEL FAIQUE,3,12.7,2005
SAPILLICA,3,21,2005
SONDOR,3,4.2,2005
SONDORILLO,3,2.5,2005
AYABACA,3,30.6,2005
FRIAS,3,28.7,2005
JILILÍ,3,8,2005
LAGUNAS,3,28.6,2005
PACAIPAMPA,3,40.8,2005
PAIMAS,3,3.2,2005
PAITA,4,0,2005
AMOTAPE,4,4.7,2005
COLÁN,4,0,2005
EL ARENAL,4,55,2005
CHULUCANAS,4,2.3,2005
BUENOS AIRES,4,0,2005
LA HUACA,4,47.4,2005
TAMARINDO,4,0.3,2005
VICHAYAL,4,21.9,2005
CHALACO,4,0.3,2005
MORROPÓN,4,3.9,2005
SALITRAL,4,1.4,2005
SAN JUAN DE BIGOTES,4,9.3,2005
SANTA CATALINA DE MOSSA,4,0,2005
LA MATANZA,4,8.9,2005
SANTO DOMINGO,4,1,2005
MONTERO,4,6.3,2005
HUANCABAMBA,4,0.1,2005
CANCHAQUE,4,12.8,2005
CARMEN DE LA FRONTERA,4,8.1,2005
HUARMACA,4,28.6,2005
LALAQUIZ,4,5.5,2005
SAN MIGUEL DEL FAIQUE,4,18.7,2005
SAPILLICA,4,1.8,2005
SONDOR,4,0,2005
SONDORILLO,4,1.1,2005
AYABACA,4,19.7,2005
FRIAS,4,6.7,2005
JILILÍ,4,51.1,2005
LAGUNAS,4,14.8,2005
PACAIPAMPA,4,26.9,2005
PAIMAS,4,0,2005
PAITA,5,6.5,2005
AMOTAPE,5,1.1,2005
COLÁN,5,0,2005
EL ARENAL,5,81.8,2005
CHULUCANAS,5,57.8,2005
BUENOS AIRES,5,0.2,2005
LA HUACA,5,158.4,2005
TAMARINDO,5,35.3,2005
VICHAYAL,5,23.1,2005
CHALACO,5,3.8,2005
MORROPÓN,5,3.7,2005
SALITRAL,5,14.6,2005
SAN JUAN DE BIGOTES,5,44.4,2005
SANTA CATALINA DE MOSSA,5,2.1,2005
LA MATANZA,5,16.3,2005
SANTO DOMINGO,5,5.6,2005
MONTERO,5,14.7,2005
HUANCABAMBA,5,0,2005
CANCHAQUE,5,78.9,2005
CARMEN DE LA FRONTERA,5,86.9,2005
HUARMACA,5,65.2,2005
LALAQUIZ,5,6,2005
SAN MIGUEL DEL FAIQUE,5,121.3,2005
SAPILLICA,5,66,2005
SONDOR,5,1,2005
SONDORILLO,5,5,2005
AYABACA,5,80.1,2005
FRIAS,5,63.7,2005
JILILÍ,5,57.1,2005
LAGUNAS,5,79.4,2005
PACAIPAMPA,5,112.1,2005
PAIMAS,5,6.4,2005
PAITA,6,35.5,2005
AMOTAPE,6,0.2,2005
COLÁN,6,0,2005
EL ARENAL,6,405.5,2005
CHULUCANAS,6,7.4,2005
BUENOS AIRES,6,55.5,2005
LA HUACA,6,413.4,2005
TAMARINDO,6,11.7,2005
VICHAYAL,6,90.5,2005
CHALACO,6,4.7,2005
MORROPÓN,6,23.4,2005
SALITRAL,6,167.9,2005
SAN JUAN DE BIGOTES,6,58.4,2005
SANTA CATALINA DE MOSSA,6,48.2,2005
LA MATANZA,6,58.2,2005
SANTO DOMINGO,6,67.9,2005
MONTERO,6,76.6,2005
HUANCABAMBA,6,28.1,2005
CANCHAQUE,6,4.5,2005
CARMEN DE LA FRONTERA,6,271.7,2005
HUARMACA,6,168.6,2005
LALAQUIZ,6,11.8,2005
SAN MIGUEL DEL FAIQUE,6,223.7,2005
SAPILLICA,6,64,2005
SONDOR,6,0.8,2005
SONDORILLO,6,2.6,2005
AYABACA,6,412.7,2005
FRIAS,6,33.4,2005
JILILÍ,6,48.8,2005
LAGUNAS,6,316.4,2005
PACAIPAMPA,6,222.1,2005
PAIMAS,6,21.8,2005
PAITA,7,158.7,2005
AMOTAPE,7,1.6,2005
COLÁN,7,11.9,2005
EL ARENAL,7,222.5,2005
CHULUCANAS,7,108.1,2005
BUENOS AIRES,7,179.3,2005
LA HUACA,7,350.8,2005
TAMARINDO,7,108.8,2005
VICHAYAL,7,158.8,2005
CHALACO,7,145.1,2005
MORROPÓN,7,170.7,2005
SALITRAL,7,295,2005
SAN JUAN DE BIGOTES,7,102.9,2005
SANTA CATALINA DE MOSSA,7,245.2,2005
LA MATANZA,7,145.5,2005
SANTO DOMINGO,7,208.7,2005
MONTERO,7,228.3,2005
HUANCABAMBA,7,342.4,2005
CANCHAQUE,7,329.9,2005
CARMEN DE LA FRONTERA,7,336.8,2005
HUARMACA,7,193.5,2005
LALAQUIZ,7,134.5,2005
SAN MIGUEL DEL FAIQUE,7,127.7,2005
SAPILLICA,7,221.2,2005
SONDOR,7,164,2005
SONDORILLO,7,71.7,2005
AYABACA,7,249.1,2005
FRIAS,7,271.7,2005
JILILÍ,7,165.8,2005
LAGUNAS,7,242.2,2005
PACAIPAMPA,7,134.4,2005
PAIMAS,7,120.8,2005
PAITA,8,166.7,2005
AMOTAPE,8,5.8,2005
COLÁN,8,88,2005
EL ARENAL,8,271.3,2005
CHULUCANAS,8,53.9,2005
BUENOS AIRES,8,200.6,2005
LA HUACA,8,338.9,2005
TAMARINDO,8,107.9,2005
VICHAYAL,8,175.4,2005
CHALACO,8,108.3,2005
MORROPÓN,8,187.8,2005
SALITRAL,8,260.8,2005
SAN JUAN DE BIGOTES,8,137.8,2005
SANTA CATALINA DE MOSSA,8,182.3,2005
LA MATANZA,8,149.8,2005
SANTO DOMINGO,8,204.2,2005
MONTERO,8,210.6,2005
HUANCABAMBA,8,423,2005
CANCHAQUE,8,31.9,2005
CARMEN DE LA FRONTERA,8,369.3,2005
HUARMACA,8,306.9,2005
LALAQUIZ,8,137.2,2005
SAN MIGUEL DEL FAIQUE,8,103.5,2005
SAPILLICA,8,87.6,2005
SONDOR,8,144.7,2005
SONDORILLO,8,86.3,2005
AYABACA,8,261.2,2005
FRIAS,8,38.6,2005
JILILÍ,8,161.7,2005
LAGUNAS,8,300.8,2005
PACAIPAMPA,8,134.1,2005
PAIMAS,8,138,2005
PAITA,9,73.8,2005
AMOTAPE,9,1,2005
COLÁN,9,44.4,2005
EL ARENAL,9,303.6,2005
CHULUCANAS,9,13.2,2005
BUENOS AIRES,9,192.8,2005
LA HUACA,9,362.7,2005
TAMARINDO,9,41.5,2005
VICHAYAL,9,64.1,2005
CHALACO,9,38.6,2005
MORROPÓN,9,50.8,2005
SALITRAL,9,219.8,2005
SAN JUAN DE BIGOTES,9,72.6,2005
SANTA CATALINA DE MOSSA,9,105.7,2005
LA MATANZA,9,71.6,2005
SANTO DOMINGO,9,98.3,2005
MONTERO,9,111.4,2005
HUANCABAMBA,9,210.5,2005
CANCHAQUE,9,67.5,2005
CARMEN DE LA FRONTERA,9,239,2005
HUARMACA,9,129.7,2005
LALAQUIZ,9,50.9,2005
SAN MIGUEL DEL FAIQUE,9,113.1,2005
SAPILLICA,9,115.7,2005
SONDOR,9,73.4,2005
SONDORILLO,9,24.5,2005
AYABACA,9,383.4,2005
FRIAS,9,70.8,2005
JILILÍ,9,46.3,2005
LAGUNAS,9,243.4,2005
PACAIPAMPA,9,149.9,2005
PAIMAS,9,38,2005
PAITA,10,14,2005
AMOTAPE,10,7.6,2005
COLÁN,10,37.4,2005
EL ARENAL,10,319.9,2005
CHULUCANAS,10,140.8,2005
BUENOS AIRES,10,59.7,2005
LA HUACA,10,315,2005
TAMARINDO,10,42.9,2005
VICHAYAL,10,90,2005
CHALACO,10,30.5,2005
MORROPÓN,10,27.9,2005
SALITRAL,10,126.7,2005
SAN JUAN DE BIGOTES,10,209.6,2005
SANTA CATALINA DE MOSSA,10,50.1,2005
LA MATANZA,10,72.4,2005
SANTO DOMINGO,10,56.7,2005
MONTERO,10,56.8,2005
HUANCABAMBA,10,157.4,2005
CANCHAQUE,10,235.8,2005
CARMEN DE LA FRONTERA,10,219.8,2005
HUARMACA,10,257.9,2005
LALAQUIZ,10,60.6,2005
SAN MIGUEL DEL FAIQUE,10,649.2,2005
SAPILLICA,10,163.1,2005
SONDOR,10,44.4,2005
SONDORILLO,10,9.9,2005
AYABACA,10,160.9,2005
FRIAS,10,118.2,2005
JILILÍ,10,124.3,2005
LAGUNAS,10,365.2,2005
PACAIPAMPA,10,201.2,2005
PAIMAS,10,32.8,2005
PAITA,11,0.1,2005
AMOTAPE,11,0.3,2005
COLÁN,11,4.8,2005
EL ARENAL,11,81.4,2005
CHULUCANAS,11,2.4,2005
BUENOS AIRES,11,0.7,2005
LA HUACA,11,56.8,2005
TAMARINDO,11,2,2005
VICHAYAL,11,6.2,2005
CHALACO,11,2.5,2005
MORROPÓN,11,0.4,2005
SALITRAL,11,0.6,2005
SAN JUAN DE BIGOTES,11,12.7,2005
SANTA CATALINA DE MOSSA,11,3.3,2005
LA MATANZA,11,8,2005
SANTO DOMINGO,11,3.1,2005
MONTERO,11,2.3,2005
HUANCABAMBA,11,0.1,2005
CANCHAQUE,11,16.1,2005
CARMEN DE LA FRONTERA,11,27.7,2005
HUARMACA,11,33,2005
LALAQUIZ,11,2.4,2005
SAN MIGUEL DEL FAIQUE,11,35.9,2005
SAPILLICA,11,10.5,2005
SONDOR,11,6.7,2005
SONDORILLO,11,0.4,2005
AYABACA,11,158.8,2005
FRIAS,11,13.9,2005
JILILÍ,11,6,2005
LAGUNAS,11,103.5,2005
PACAIPAMPA,11,44.9,2005
PAIMAS,11,1.6,2005
PAITA,12,0.7,2005
AMOTAPE,12,0.6,2005
COLÁN,12,0.5,2005
EL ARENAL,12,34.1,2005
CHULUCANAS,12,0.9,2005
BUENOS AIRES,12,0.8,2005
LA HUACA,12,85.3,2005
TAMARINDO,12,9.1,2005
VICHAYAL,12,1,2005
CHALACO,12,0.5,2005
MORROPÓN,12,0.1,2005
SALITRAL,12,0.2,2005
SAN JUAN DE BIGOTES,12,5.8,2005
SANTA CATALINA DE MOSSA,12,0.9,2005
LA MATANZA,12,1.1,2005
SANTO DOMINGO,12,0.9,2005
MONTERO,12,0.2,2005
HUANCABAMBA,12,0.2,2005
CANCHAQUE,12,9.4,2005
CARMEN DE LA FRONTERA,12,12.5,2005
HUARMACA,12,13.9,2005
LALAQUIZ,12,0.6,2005
SAN MIGUEL DEL FAIQUE,12,14.8,2005
SAPILLICA,12,8.2,2005
SONDOR,12,0.9,2005
SONDORILLO,12,1.8,2005
AYABACA,12,199,2005
FRIAS,12,20.3,2005
JILILÍ,12,3,2005
LAGUNAS,12,48.4,2005
PACAIPAMPA,12,32,2005
PAIMAS,12,4.1,2005
PAITA,1,4.8,2006
AMOTAPE,1,2.8,2006
COLÁN,1,20.2,2006
EL ARENAL,1,31,2006
CHULUCANAS,1,8.1,2006
BUENOS AIRES,1,3.9,2006
LA HUACA,1,78.4,2006
TAMARINDO,1,1.7,2006
VICHAYAL,1,2.2,2006
CHALACO,1,13.3,2006
MORROPÓN,1,23.8,2006
SALITRAL,1,0.3,2006
SAN JUAN DE BIGOTES,1,12.3,2006
SANTA CATALINA DE MOSSA,1,2.3,2006
LA MATANZA,1,3.1,2006
SANTO DOMINGO,1,15.6,2006
MONTERO,1,0,2006
HUANCABAMBA,1,0.5,2006
CANCHAQUE,1,2.1,2006
CARMEN DE LA FRONTERA,1,40,2006
HUARMACA,1,29.8,2006
LALAQUIZ,1,17.3,2006
SAN MIGUEL DEL FAIQUE,1,53,2006
SAPILLICA,1,14.3,2006
SONDOR,1,1.7,2006
SONDORILLO,1,0.5,2006
AYABACA,1,215.2,2006
FRIAS,1,2.4,2006
JILILÍ,1,1.9,2006
LAGUNAS,1,59,2006
PACAIPAMPA,1,50.1,2006
PAIMAS,1,17,2006
PAITA,2,0.5,2006
AMOTAPE,2,16.4,2006
COLÁN,2,40.8,2006
EL ARENAL,2,7.4,2006
CHULUCANAS,2,0.8,2006
BUENOS AIRES,2,0,2006
LA HUACA,2,47.3,2006
TAMARINDO,2,1.2,2006
VICHAYAL,2,1.2,2006
CHALACO,2,0,2006
MORROPÓN,2,0.1,2006
SALITRAL,2,0,2006
SAN JUAN DE BIGOTES,2,2.5,2006
SANTA CATALINA DE MOSSA,2,0,2006
LA MATANZA,2,1.6,2006
SANTO DOMINGO,2,0.1,2006
MONTERO,2,0,2006
HUANCABAMBA,2,0,2006
CANCHAQUE,2,8.6,2006
CARMEN DE LA FRONTERA,2,5,2006
HUARMACA,2,35,2006
LALAQUIZ,2,0.3,2006
SAN MIGUEL DEL FAIQUE,2,31,2006
SAPILLICA,2,3.6,2006
SONDOR,2,0,2006
SONDORILLO,2,1.7,2006
AYABACA,2,102.4,2006
FRIAS,2,2.6,2006
JILILÍ,2,0,2006
LAGUNAS,2,31.1,2006
PACAIPAMPA,2,1.2,2006
PAIMAS,2,0.3,2006
PAITA,3,0.1,2006
AMOTAPE,3,48,2006
COLÁN,3,0.1,2006
EL ARENAL,3,8.4,2006
CHULUCANAS,3,2.8,2006
BUENOS AIRES,3,0,2006
LA HUACA,3,32.2,2006
TAMARINDO,3,7.4,2006
VICHAYAL,3,11.8,2006
CHALACO,3,0.7,2006
MORROPÓN,3,3.5,2006
SALITRAL,3,0.6,2006
SAN JUAN DE BIGOTES,3,21.4,2006
SANTA CATALINA DE MOSSA,3,0.4,2006
LA MATANZA,3,6.8,2006
SANTO DOMINGO,3,2.9,2006
MONTERO,3,0.7,2006
HUANCABAMBA,3,0,2006
CANCHAQUE,3,14.9,2006
CARMEN DE LA FRONTERA,3,4.9,2006
HUARMACA,3,28,2006
LALAQUIZ,3,7.9,2006
SAN MIGUEL DEL FAIQUE,3,20.6,2006
SAPILLICA,3,18,2006
SONDOR,3,1.3,2006
SONDORILLO,3,2.4,2006
AYABACA,3,79,2006
FRIAS,3,23.1,2006
JILILÍ,3,29,2006
LAGUNAS,3,23,2006
PACAIPAMPA,3,39.6,2006
PAIMAS,3,0.2,2006
PAITA,4,0.7,2006
AMOTAPE,4,20.5,2006
COLÁN,4,0.4,2006
EL ARENAL,4,5.9,2006
CHULUCANAS,4,16.6,2006
BUENOS AIRES,4,0,2006
LA HUACA,4,49.2,2006
TAMARINDO,4,0.5,2006
VICHAYAL,4,27.6,2006
CHALACO,4,1.3,2006
MORROPÓN,4,12.7,2006
SALITRAL,4,3,2006
SAN JUAN DE BIGOTES,4,26.6,2006
SANTA CATALINA DE MOSSA,4,3.3,2006
LA MATANZA,4,24.6,2006
SANTO DOMINGO,4,6.4,2006
MONTERO,4,7.8,2006
HUANCABAMBA,4,0,2006
CANCHAQUE,4,21.7,2006
CARMEN DE LA FRONTERA,4,15.5,2006
HUARMACA,4,27.5,2006
LALAQUIZ,4,17.1,2006
SAN MIGUEL DEL FAIQUE,4,6.2,2006
SAPILLICA,4,23.3,2006
SONDOR,4,0,2006
SONDORILLO,4,0,2006
AYABACA,4,17.1,2006
FRIAS,4,14.5,2006
JILILÍ,4,45.4,2006
LAGUNAS,4,25.1,2006
PACAIPAMPA,4,0.6,2006
PAIMAS,4,1.6,2006
PAITA,5,39.9,2006
AMOTAPE,5,11.4,2006
COLÁN,5,0.7,2006
EL ARENAL,5,112.9,2006
CHULUCANAS,5,24.8,2006
BUENOS AIRES,5,12,2006
LA HUACA,5,229.7,2006
TAMARINDO,5,12.7,2006
VICHAYAL,5,75.7,2006
CHALACO,5,20,2006
MORROPÓN,5,92.8,2006
SALITRAL,5,54.3,2006
SAN JUAN DE BIGOTES,5,79,2006
SANTA CATALINA DE MOSSA,5,19.7,2006
LA MATANZA,5,76.1,2006
SANTO DOMINGO,5,70.6,2006
MONTERO,5,46,2006
HUANCABAMBA,5,0.4,2006
CANCHAQUE,5,59.1,2006
CARMEN DE LA FRONTERA,5,88,2006
HUARMACA,5,119.9,2006
LALAQUIZ,5,105.4,2006
SAN MIGUEL DEL FAIQUE,5,82.5,2006
SAPILLICA,5,69.1,2006
SONDOR,5,1.3,2006
SONDORILLO,5,0.1,2006
AYABACA,5,161.3,2006
FRIAS,5,58.5,2006
JILILÍ,5,146.2,2006
LAGUNAS,5,82.9,2006
PACAIPAMPA,5,103.8,2006
PAIMAS,5,21.2,2006
PAITA,6,50,2006
AMOTAPE,6,0,2006
COLÁN,6,0,2006
EL ARENAL,6,303.8,2006
CHULUCANAS,6,25.4,2006
BUENOS AIRES,6,97.7,2006
LA HUACA,6,447,2006
TAMARINDO,6,83.6,2006
VICHAYAL,6,105.6,2006
CHALACO,6,94,2006
MORROPÓN,6,71.1,2006
SALITRAL,6,273.5,2006
SAN JUAN DE BIGOTES,6,29.3,2006
SANTA CATALINA DE MOSSA,6,146.6,2006
LA MATANZA,6,67.3,2006
SANTO DOMINGO,6,114.8,2006
MONTERO,6,141.5,2006
HUANCABAMBA,6,73.5,2006
CANCHAQUE,6,29.4,2006
CARMEN DE LA FRONTERA,6,167.8,2006
HUARMACA,6,146.5,2006
LALAQUIZ,6,31.4,2006
SAN MIGUEL DEL FAIQUE,6,62.8,2006
SAPILLICA,6,37.8,2006
SONDOR,6,39.3,2006
SONDORILLO,6,17.3,2006
AYABACA,6,507.6,2006
FRIAS,6,55.2,2006
JILILÍ,6,96.4,2006
LAGUNAS,6,226.4,2006
PACAIPAMPA,6,128.8,2006
PAIMAS,6,44.8,2006
PAITA,7,147.1,2006
AMOTAPE,7,1.5,2006
COLÁN,7,8.5,2006
EL ARENAL,7,198.9,2006
CHULUCANAS,7,31.6,2006
BUENOS AIRES,7,247.5,2006
LA HUACA,7,356.7,2006
TAMARINDO,7,140.1,2006
VICHAYAL,7,168.6,2006
CHALACO,7,103.8,2006
MORROPÓN,7,124.8,2006
SALITRAL,7,290.1,2006
SAN JUAN DE BIGOTES,7,80.6,2006
SANTA CATALINA DE MOSSA,7,187,2006
LA MATANZA,7,137.9,2006
SANTO DOMINGO,7,157.4,2006
MONTERO,7,183.9,2006
HUANCABAMBA,7,296,2006
CANCHAQUE,7,83.4,2006
CARMEN DE LA FRONTERA,7,291.8,2006
HUARMACA,7,191.4,2006
LALAQUIZ,7,87.3,2006
SAN MIGUEL DEL FAIQUE,7,157.5,2006
SAPILLICA,7,100.2,2006
SONDOR,7,199.6,2006
SONDORILLO,7,106.2,2006
AYABACA,7,252.3,2006
FRIAS,7,93.3,2006
JILILÍ,7,129.8,2006
LAGUNAS,7,325.9,2006
PACAIPAMPA,7,118.6,2006
PAIMAS,7,109.1,2006
PAITA,8,158.3,2006
AMOTAPE,8,0,2006
COLÁN,8,18,2006
EL ARENAL,8,300.2,2006
CHULUCANAS,8,75.7,2006
BUENOS AIRES,8,204.2,2006
LA HUACA,8,285.1,2006
TAMARINDO,8,190,2006
VICHAYAL,8,215.7,2006
CHALACO,8,169.1,2006
MORROPÓN,8,222.2,2006
SALITRAL,8,239.7,2006
SAN JUAN DE BIGOTES,8,137.8,2006
SANTA CATALINA DE MOSSA,8,257.4,2006
LA MATANZA,8,170.4,2006
SANTO DOMINGO,8,206.1,2006
MONTERO,8,210.4,2006
HUANCABAMBA,8,292.9,2006
CANCHAQUE,8,52,2006
CARMEN DE LA FRONTERA,8,221.9,2006
HUARMACA,8,203.7,2006
LALAQUIZ,8,166.3,2006
SAN MIGUEL DEL FAIQUE,8,178,2006
SAPILLICA,8,107.1,2006
SONDOR,8,249.1,2006
SONDORILLO,8,111.3,2006
AYABACA,8,260.8,2006
FRIAS,8,45,2006
JILILÍ,8,178.4,2006
LAGUNAS,8,211.3,2006
PACAIPAMPA,8,135.4,2006
PAIMAS,8,81,2006
PAITA,9,129.7,2006
AMOTAPE,9,1.3,2006
COLÁN,9,35.5,2006
EL ARENAL,9,171,2006
CHULUCANAS,9,82.8,2006
BUENOS AIRES,9,351.6,2006
LA HUACA,9,339.4,2006
TAMARINDO,9,106.3,2006
VICHAYAL,9,153.6,2006
CHALACO,9,123.1,2006
MORROPÓN,9,113.1,2006
SALITRAL,9,246.1,2006
SAN JUAN DE BIGOTES,9,169,2006
SANTA CATALINA DE MOSSA,9,163.2,2006
LA MATANZA,9,124.6,2006
SANTO DOMINGO,9,160.1,2006
MONTERO,9,197.2,2006
HUANCABAMBA,9,276.6,2006
CANCHAQUE,9,217.5,2006
CARMEN DE LA FRONTERA,9,226.9,2006
HUARMACA,9,213.9,2006
LALAQUIZ,9,86.4,2006
SAN MIGUEL DEL FAIQUE,9,88,2006
SAPILLICA,9,143.7,2006
SONDOR,9,152.5,2006
SONDORILLO,9,77.1,2006
AYABACA,9,307.7,2006
FRIAS,9,195.9,2006
JILILÍ,9,117.7,2006
LAGUNAS,9,241,2006
PACAIPAMPA,9,107.6,2006
PAIMAS,9,95.8,2006
PAITA,10,85.5,2006
AMOTAPE,10,0.7,2006
COLÁN,10,6.6,2006
EL ARENAL,10,231.3,2006
CHULUCANAS,10,23.2,2006
BUENOS AIRES,10,164.6,2006
LA HUACA,10,323.5,2006
TAMARINDO,10,34.6,2006
VICHAYAL,10,77.4,2006
CHALACO,10,36.5,2006
MORROPÓN,10,91,2006
SALITRAL,10,148,2006
SAN JUAN DE BIGOTES,10,79.6,2006
SANTA CATALINA DE MOSSA,10,93,2006
LA MATANZA,10,74.1,2006
SANTO DOMINGO,10,133.9,2006
MONTERO,10,82.5,2006
HUANCABAMBA,10,54.2,2006
CANCHAQUE,10,55.5,2006
CARMEN DE LA FRONTERA,10,107.2,2006
HUARMACA,10,109,2006
LALAQUIZ,10,51.6,2006
SAN MIGUEL DEL FAIQUE,10,157.9,2006
SAPILLICA,10,104.2,2006
SONDOR,10,74.8,2006
SONDORILLO,10,33.5,2006
AYABACA,10,404,2006
FRIAS,10,105.6,2006
JILILÍ,10,83.7,2006
LAGUNAS,10,188.6,2006
PACAIPAMPA,10,81.5,2006
PAIMAS,10,59.4,2006
PAITA,11,22.3,2006
AMOTAPE,11,1.7,2006
COLÁN,11,0,2006
EL ARENAL,11,91.3,2006
CHULUCANAS,11,1.7,2006
BUENOS AIRES,11,20.3,2006
LA HUACA,11,94.4,2006
TAMARINDO,11,0,2006
VICHAYAL,11,38.7,2006
CHALACO,11,0.2,2006
MORROPÓN,11,15.2,2006
SALITRAL,11,38.8,2006
SAN JUAN DE BIGOTES,11,37.6,2006
SANTA CATALINA DE MOSSA,11,8.9,2006
LA MATANZA,11,31.9,2006
SANTO DOMINGO,11,18,2006
MONTERO,11,17,2006
HUANCABAMBA,11,0.4,2006
CANCHAQUE,11,30.8,2006
CARMEN DE LA FRONTERA,11,69.4,2006
HUARMACA,11,83.3,2006
LALAQUIZ,11,15.2,2006
SAN MIGUEL DEL FAIQUE,11,153.4,2006
SAPILLICA,11,59.2,2006
SONDOR,11,0,2006
SONDORILLO,11,1.1,2006
AYABACA,11,149.8,2006
FRIAS,11,21.3,2006
JILILÍ,11,46.1,2006
LAGUNAS,11,136.3,2006
PACAIPAMPA,11,64.9,2006
PAIMAS,11,8.8,2006
PAITA,12,16.2,2006
AMOTAPE,12,6.2,2006
COLÁN,12,0.1,2006
EL ARENAL,12,71.4,2006
CHULUCANAS,12,27.2,2006
BUENOS AIRES,12,1,2006
LA HUACA,12,71.3,2006
TAMARINDO,12,28.9,2006
VICHAYAL,12,4.3,2006
CHALACO,12,19.9,2006
MORROPÓN,12,9.6,2006
SALITRAL,12,0.3,2006
SAN JUAN DE BIGOTES,12,19.4,2006
SANTA CATALINA DE MOSSA,12,9.7,2006
LA MATANZA,12,0.7,2006
SANTO DOMINGO,12,4.1,2006
MONTERO,12,0.2,2006
HUANCABAMBA,12,7.5,2006
CANCHAQUE,12,39.3,2006
CARMEN DE LA FRONTERA,12,31.8,2006
HUARMACA,12,33.8,2006
LALAQUIZ,12,4,2006
SAN MIGUEL DEL FAIQUE,12,141,2006
SAPILLICA,12,39.5,2006
SONDOR,12,12.2,2006
SONDORILLO,12,7.7,2006
AYABACA,12,219,2006
FRIAS,12,52.8,2006
JILILÍ,12,1.4,2006
LAGUNAS,12,103.6,2006
PACAIPAMPA,12,59.1,2006
PAIMAS,12,16.2,2006
PAITA,1,17.2,2007
AMOTAPE,1,12.8,2007
COLÁN,1,6.1,2007
EL ARENAL,1,76.3,2007
CHULUCANAS,1,47.1,2007
BUENOS AIRES,1,14.1,2007
LA HUACA,1,104,2007
TAMARINDO,1,58.4,2007
VICHAYAL,1,5.2,2007
CHALACO,1,10.3,2007
MORROPÓN,1,11.5,2007
SALITRAL,1,1,2007
SAN JUAN DE BIGOTES,1,9.4,2007
SANTA CATALINA DE MOSSA,1,17.5,2007
LA MATANZA,1,5,2007
SANTO DOMINGO,1,11.5,2007
MONTERO,1,2.6,2007
HUANCABAMBA,1,21,2007
CANCHAQUE,1,28.1,2007
CARMEN DE LA FRONTERA,1,9,2007
HUARMACA,1,18.9,2007
LALAQUIZ,1,1.6,2007
SAN MIGUEL DEL FAIQUE,1,64.4,2007
SAPILLICA,1,15.3,2007
SONDOR,1,22.5,2007
SONDORILLO,1,26.6,2007
AYABACA,1,363.9,2007
FRIAS,1,38.3,2007
JILILÍ,1,9.6,2007
LAGUNAS,1,53.8,2007
PACAIPAMPA,1,28.4,2007
PAIMAS,1,19,2007
PAITA,2,16.2,2007
AMOTAPE,2,28.6,2007
COLÁN,2,0.6,2007
EL ARENAL,2,88.3,2007
CHULUCANAS,2,1.2,2007
BUENOS AIRES,2,0.3,2007
LA HUACA,2,31.6,2007
TAMARINDO,2,0.2,2007
VICHAYAL,2,21.9,2007
CHALACO,2,0,2007
