,ENTIDAD,A??o,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
1028,TAMARINDO,2005,JUNIO,27.684738,33.22390656,22.14556943
1029,VICHAYAL,2005,JUNIO,25.18313072,31.1400435,19.22621795
1030,CHULUCANAS,2005,JUNIO,25.51270361,35.0420575,15.98334971
1031,BUENOS AIRES,2005,JUNIO,18.59358974,26.03974359,11.1474359
1032,CHALACO,2005,JUNIO,25.09693278,34.76775362,15.42611194
1033,LA MATANZA,2005,JUNIO,22.4588453,31.19547854,13.72221206
1034,MORROP?N,2005,JUNIO,27.67778849,34.76794165,20.58763533
1035,SALITRAL,2005,JUNIO,21.94083622,28.81928098,15.06239145
1036,SAN JUAN DE BIGOTE,2005,JUNIO,24.43002081,33.44677455,15.41326707
1037,SANTA CATALINA DE MOSSA,2005,JUNIO,18.66166667,26.13962264,11.18371069
1038,SANTO DOMINGO,2005,JUNIO,24.67708505,32.75382124,16.60034886
1039,YAMANGO,2005,JUNIO,23.36796296,30.28925926,16.44666667
1040,HUANCABAMBA,2005,JUNIO,28.60316075,35.70744253,21.49887897
1041,CANCHAQUE,2005,JUNIO,20.17183908,29.22413793,11.11954023
1042,EL CARMEN DE LA FRONTERA,2005,JUNIO,26.87911568,32.22053184,21.53769952
1043,HUARMACA,2005,JUNIO,20.95408602,27.16774194,14.74043011
1044,LALAQUIZ,2005,JUNIO,22.91956565,29.88194761,15.9571837
1045,SAN MIGUEL DE EL FAIQUE,2005,JUNIO,27.77578507,33.57247587,21.97909427
1046,SONDOR,2005,JUNIO,25.85128117,33.52892496,18.17363739
1047,SONDORILLO,2005,JUNIO,28.92783727,36.50027561,21.35539893
1048,AYABACA,2005,JUNIO,28.83424882,38.85563362,18.81286402
1049,FR?AS,2005,JUNIO,30.66989076,36.46318012,24.87660139
1050,JILIL?,2005,JUNIO,29.98376312,35.77401549,24.19351074
1051,LAGUNAS,2005,JUNIO,17.03583333,25.98166667,8.09
1052,MONTERO,2005,JUNIO,29.82777778,36.01944444,23.63611111
1053,PACAIPAMPA,2005,JUNIO,28.61734211,34.54674037,22.68794385
1054,PAIMAS,2005,JUNIO,21.60522322,31.06510745,12.145339
1055,SAPILLICA,2005,JUNIO,25.00859957,32.56161709,17.45558205
1056,PAITA,2005,JULIO,20.44447005,27.90745528,12.98148481
1057,AMOTAPE,2005,JULIO,27.53205425,35.10116729,19.96294122
1058,COL?N,2005,JULIO,27.78907824,35.50405426,20.07410223
1059,EL ARENAL,2005,JULIO,27.85421975,34.10929791,21.59914159
1060,LA HUACA,2005,JULIO,27.37309108,34.95358423,19.79259793
1061,TAMARINDO,2005,JULIO,28.25868069,33.22004452,23.29731687
1062,VICHAYAL,2005,JULIO,24.40298965,30.21103407,18.59494523
1063,CHULUCANAS,2005,JULIO,25.66261145,33.30849104,18.01673185
1064,BUENOS AIRES,2005,JULIO,17.06588089,23.8439206,10.28784119
1065,CHALACO,2005,JULIO,23.46632823,31.21907827,15.7135782
1066,LA MATANZA,2005,JULIO,20.54406973,28.07464972,13.01348974
1067,MORROP?N,2005,JULIO,25.67400482,31.91751523,19.43049441
1068,SALITRAL,2005,JULIO,20.38127904,26.62496366,14.13759443
1069,SAN JUAN DE BIGOTE,2005,JULIO,22.87167693,29.33997588,16.40337798
1070,SANTA CATALINA DE MOSSA,2005,JULIO,17.33463177,24.12264151,10.54662203
1071,SANTO DOMINGO,2005,JULIO,22.39174339,28.5677226,16.21576418
1072,YAMANGO,2005,JULIO,21.45856855,28.04334678,14.87379032
1073,HUANCABAMBA,2005,JULIO,28.09866159,33.45378875,22.74353443
1074,CANCHAQUE,2005,JULIO,19.32369299,27.87319244,10.77419355
1075,EL CARMEN DE LA FRONTERA,2005,JULIO,26.1031279,31.69148029,20.5147755
1076,HUARMACA,2005,JULIO,19.97565036,25.80926119,14.14203954
1077,LALAQUIZ,2005,JULIO,21.59143395,27.86863186,15.31423604
1078,SAN MIGUEL DE EL FAIQUE,2005,JULIO,27.84453258,33.44296909,22.24609606
1079,SONDOR,2005,JULIO,24.30643505,31.21198804,17.40088207
1080,SONDORILLO,2005,JULIO,30.63559826,36.52212418,24.74907235
1081,AYABACA,2005,JULIO,31.44755786,39.63821748,23.25689823
1082,FR?AS,2005,JULIO,29.86557972,35.10363692,24.62752251
1083,JILIL?,2005,JULIO,29.06705377,34.50702713,23.62708041
1084,LAGUNAS,2005,JULIO,15.83266129,24.10685484,7.558467743
1085,MONTERO,2005,JULIO,26.21281362,31.85842294,20.5672043
1086,PACAIPAMPA,2005,JULIO,28.6425983,34.34602786,22.93916873
1087,PAIMAS,2005,JULIO,19.95907727,27.26948719,12.64866736
1088,SAPILLICA,2005,JULIO,24.35662041,30.96162666,17.75161416
1089,PAITA,2005,AGOSTO,19.21080736,26.02329833,12.3983164
1090,AMOTAPE,2005,AGOSTO,27.03353845,34.06925979,19.99781712
1091,COL?N,2005,AGOSTO,28.5333114,36.20470073,20.86192207
1092,EL ARENAL,2005,AGOSTO,27.35313275,33.58833747,21.11792804
1093,LA HUACA,2005,AGOSTO,26.25086022,33.50516129,18.99655914
1094,TAMARINDO,2005,AGOSTO,28.09304926,33.2670182,22.91908033
1095,VICHAYAL,2005,AGOSTO,24.42753743,30.14227213,18.71280273
1096,CHULUCANAS,2005,AGOSTO,23.4433566,30.41719468,16.46951852
1097,BUENOS AIRES,2005,AGOSTO,16.52729529,22.88709677,10.1674938
1098,CHALACO,2005,AGOSTO,21.78292677,28.91266446,14.65318907
1099,LA MATANZA,2005,AGOSTO,19.80495275,26.80550668,12.80439883
1100,MORROP?N,2005,AGOSTO,25.20820407,31.3917868,19.02462134
1101,SALITRAL,2005,AGOSTO,19.89651005,25.62018453,14.17283558
1102,SAN JUAN DE BIGOTE,2005,AGOSTO,21.87210713,28.05963303,15.68458124
1103,SANTA CATALINA DE MOSSA,2005,AGOSTO,16.7215916,23.10709069,10.33609251
1104,SANTO DOMINGO,2005,AGOSTO,21.60846672,27.56743989,15.64949356
1105,YAMANGO,2005,AGOSTO,20.0686636,26.8202765,13.31705069
1106,HUANCABAMBA,2005,AGOSTO,27.52919177,33.14252533,21.91585822
1107,CANCHAQUE,2005,AGOSTO,18.62854674,26.28828558,10.96880789
1108,EL CARMEN DE LA FRONTERA,2005,AGOSTO,25.99670594,31.5798699,20.41354198
1109,HUARMACA,2005,AGOSTO,19.70193548,25.31408602,14.08978495
1110,LALAQUIZ,2005,AGOSTO,20.86602779,26.56087504,15.17118055
1111,SAN MIGUEL DE EL FAIQUE,2005,AGOSTO,27.89651551,33.6950335,22.09799752
1112,SONDOR,2005,AGOSTO,23.72636365,30.41565329,17.03707402
1113,SONDORILLO,2005,AGOSTO,29.74446977,35.9395366,23.54940294
1114,AYABACA,2005,AGOSTO,29.29708851,36.65867861,21.9354984
1115,FR?AS,2005,AGOSTO,29.32428903,34.61169147,24.03688659
1116,JILIL?,2005,AGOSTO,28.78513247,34.44051471,23.12975023
1117,LAGUNAS,2005,AGOSTO,15.01108871,22.78225806,7.239919355
1118,MONTERO,2005,AGOSTO,25.86123656,31.40519713,20.31727598
1119,PACAIPAMPA,2005,AGOSTO,28.64640071,34.57349497,22.71930645
1120,PAIMAS,2005,AGOSTO,18.75488686,25.67761194,11.83216177
1121,SAPILLICA,2005,AGOSTO,23.67519347,30.04606982,17.30431712
1122,PAITA,2005,SEPTIEMBRE,18.51223769,25.9789548,11.04552058
1123,AMOTAPE,2005,SEPTIEMBRE,24.68664901,32.51186811,16.86142992
1124,COL?N,2005,SEPTIEMBRE,28.39185084,36.56869666,20.21500502
1125,EL ARENAL,2005,SEPTIEMBRE,26.91996905,33.05807913,20.78185897
1126,LA HUACA,2005,SEPTIEMBRE,25.69759505,33.62128205,17.77390805
1127,TAMARINDO,2005,SEPTIEMBRE,28.13670081,33.3890921,22.88430952
1128,VICHAYAL,2005,SEPTIEMBRE,24.20383919,29.94392739,18.463751
1129,CHULUCANAS,2005,SEPTIEMBRE,24.12280199,32.21237792,16.03322606
1130,BUENOS AIRES,2005,SEPTIEMBRE,16.31557692,23.14102564,9.490128205
1131,CHALACO,2005,SEPTIEMBRE,21.38240323,29.62236518,13.14244128
1132,LA MATANZA,2005,SEPTIEMBRE,19.4194118,27.05851161,11.78031199
1133,MORROP?N,2005,SEPTIEMBRE,25.1047596,31.29802539,18.9114938
1134,SALITRAL,2005,SEPTIEMBRE,18.91535701,24.75756155,13.07315247
1135,SAN JUAN DE BIGOTE,2005,SEPTIEMBRE,21.94708356,28.61033535,15.28383178
1136,SANTA CATALINA DE MOSSA,2005,SEPTIEMBRE,16.175,22.92307692,9.426923077
1137,SANTO DOMINGO,2005,SEPTIEMBRE,21.69387383,28.10786572,15.27988194
1138,YAMANGO,2005,SEPTIEMBRE,19.92944444,26.16666666,13.69222222
1139,HUANCABAMBA,2005,SEPTIEMBRE,27.92403225,33.33213351,22.51593098
1140,CANCHAQUE,2005,SEPTIEMBRE,18.10189394,25.95530303,10.24848485
1141,EL CARMEN DE LA FRONTERA,2005,SEPTIEMBRE,26.46181944,32.24541451,20.67822437
1142,HUARMACA,2005,SEPTIEMBRE,18.8961954,24.62363985,13.16875096
1143,LALAQUIZ,2005,SEPTIEMBRE,20.2633427,26.55937915,13.96730625
1144,SAN MIGUEL DE EL FAIQUE,2005,SEPTIEMBRE,27.43162573,33.29696842,21.56628305
1145,SONDOR,2005,SEPTIEMBRE,22.89042596,29.84695392,15.93389801
1146,SONDORILLO,2005,SEPTIEMBRE,30.5499248,36.84459875,24.25525085
1147,AYABACA,2005,SEPTIEMBRE,29.54078151,38.24933814,20.83222489
1148,FR?AS,2005,SEPTIEMBRE,29.03381156,34.09947535,23.96814777
1149,JILIL?,2005,SEPTIEMBRE,28.40902174,34.20282609,22.61521739
1150,LAGUNAS,2005,SEPTIEMBRE,14.6431445,23.28866995,5.997619048
1151,MONTERO,2005,SEPTIEMBRE,25.57083333,31.29166667,19.85
1152,PACAIPAMPA,2005,SEPTIEMBRE,28.21732392,34.0759814,22.35866645
1153,PAIMAS,2005,SEPTIEMBRE,18.46028236,26.1807896,10.73977511
1154,SAPILLICA,2005,SEPTIEMBRE,23.37340666,30.09571408,16.65109925
1155,PAITA,2005,OCTUBRE,17.60513942,26.30284308,8.907435757
1156,AMOTAPE,2005,OCTUBRE,20.69377215,27.75980843,13.62773586
1157,COL?N,2005,OCTUBRE,23.93103712,31.57650745,16.28556679
1158,EL ARENAL,2005,OCTUBRE,25.0770761,30.65825062,19.49590157
1159,LA HUACA,2005,OCTUBRE,22.30394541,30.23612903,14.37176179
1160,TAMARINDO,2005,OCTUBRE,26.91196939,32.14532222,21.67861657
1161,VICHAYAL,2005,OCTUBRE,23.13652552,28.80977924,17.46327179
1162,CHULUCANAS,2005,OCTUBRE,19.73667324,28.16543112,11.30791536
1163,BUENOS AIRES,2005,OCTUBRE,15.53287841,21.99751861,9.068238213
1164,CHALACO,2005,OCTUBRE,19.52206417,28.08960963,10.95451871
1165,LA MATANZA,2005,OCTUBRE,18.33558501,26.48091132,10.1902587
1166,MORROP?N,2005,OCTUBRE,24.85274674,31.42732435,18.27816914
1167,SALITRAL,2005,OCTUBRE,18.08494918,23.54798756,12.62191079
1168,SAN JUAN DE BIGOTE,2005,OCTUBRE,21.00516368,28.51345535,13.49687201
1169,SANTA CATALINA DE MOSSA,2005,OCTUBRE,15.59647551,22.55436081,8.638590203
1170,SANTO DOMINGO,2005,OCTUBRE,21.17446076,27.88110553,14.46781599
1171,YAMANGO,2005,OCTUBRE,19.53521505,25.8983871,13.17204301
1172,HUANCABAMBA,2005,OCTUBRE,27.23771882,32.97507305,21.50036458
1173,CANCHAQUE,2005,OCTUBRE,16.50962854,23.78230694,9.236950146
1174,EL CARMEN DE LA FRONTERA,2005,OCTUBRE,24.84854917,30.45432443,19.24277391
1175,HUARMACA,2005,OCTUBRE,18.86827957,24.53686636,13.19969278
1176,LALAQUIZ,2005,OCTUBRE,19.00929689,25.27871367,12.73988011
1177,SAN MIGUEL DE EL FAIQUE,2005,OCTUBRE,25.64088153,30.96510803,20.31665504
1178,SONDOR,2005,OCTUBRE,21.06444442,27.67999128,14.44889755
1179,SONDORILLO,2005,OCTUBRE,27.60890401,35.08452747,20.13328056
1180,AYABACA,2005,OCTUBRE,24.52564932,33.91916745,15.13213119
1181,FR?AS,2005,OCTUBRE,27.2235308,31.66268995,22.78437166
1182,JILIL?,2005,OCTUBRE,25.35130159,30.41825403,20.28434915
1183,LAGUNAS,2005,OCTUBRE,13.82603687,22.58064516,5.071428571
1184,MONTERO,2005,OCTUBRE,25.14516129,29.79032258,20.5
1185,PACAIPAMPA,2005,OCTUBRE,25.77759646,30.96047676,20.59471615
1186,PAIMAS,2005,OCTUBRE,17.01380404,25.15667106,8.87093702
1187,SAPILLICA,2005,OCTUBRE,21.64645188,28.35280843,14.94009533
1188,PAITA,2005,NOVIEMBRE,14.85028466,25.00903955,4.69152977
1189,AMOTAPE,2005,NOVIEMBRE,17.96189041,25.13070413,10.79307669
1190,COL?N,2005,NOVIEMBRE,21.12853279,29.90493963,12.35212595
1191,EL ARENAL,2005,NOVIEMBRE,23.53416004,29.71223033,17.35608974
1192,LA HUACA,2005,NOVIEMBRE,16.88665709,26.02694444,7.746369732
1193,TAMARINDO,2005,NOVIEMBRE,26.08671978,32.56274359,19.61069597
1194,VICHAYAL,2005,NOVIEMBRE,22.51947848,28.90661633,16.13234064
1195,CHULUCANAS,2005,NOVIEMBRE,14.6141086,24.83110191,4.397115287
1196,BUENOS AIRES,2005,NOVIEMBRE,14.13444444,21.90694444,6.361944444
1197,CHALACO,2005,NOVIEMBRE,14.81714995,24.74869383,4.885606061
1198,LA MATANZA,2005,NOVIEMBRE,16.15401667,25.56753333,6.7405
1199,MORROP?N,2005,NOVIEMBRE,24.32510718,31.792581,16.85763337
1200,SALITRAL,2005,NOVIEMBRE,14.727,21.21861538,8.235384615
1201,SAN JUAN DE BIGOTE,2005,NOVIEMBRE,18.48988095,28.02840136,8.951360544
1202,SANTA CATALINA DE MOSSA,2005,NOVIEMBRE,13.98980163,22.44256622,5.537037037
1203,SANTO DOMINGO,2005,NOVIEMBRE,18.00042264,27.13180718,8.869038095
1204,YAMANGO,2005,NOVIEMBRE,18.68166667,25.99777778,11.36555556
1205,HUANCABAMBA,2005,NOVIEMBRE,24.71787951,32.8556852,16.58007381
1206,CANCHAQUE,2005,NOVIEMBRE,13.7274026,21.69848485,5.756320346
1207,EL CARMEN DE LA FRONTERA,2005,NOVIEMBRE,23.32276023,29.54151136,17.10400911
1208,HUARMACA,2005,NOVIEMBRE,16.78214286,23.15396825,10.41031746
1209,LALAQUIZ,2005,NOVIEMBRE,16.68198981,24.29791101,9.066068607
1210,SAN MIGUEL DE EL FAIQUE,2005,NOVIEMBRE,24.39961517,30.24270046,18.55652988
1211,SONDOR,2005,NOVIEMBRE,17.70115269,25.57710238,9.825202991
1212,SONDORILLO,2005,NOVIEMBRE,23.9407132,33.66399767,14.21742872
1213,AYABACA,2005,NOVIEMBRE,19.93792161,30.87704676,8.998796457
1214,FR?AS,2005,NOVIEMBRE,25.5885718,30.15220851,21.02493508
1215,JILIL?,2005,NOVIEMBRE,21.71117072,28.2990165,15.12332494
1216,LAGUNAS,2005,NOVIEMBRE,12.45,22.5452381,2.354761905
1217,MONTERO,2005,NOVIEMBRE,21.24861111,26.80555555,15.69166667
1218,PACAIPAMPA,2005,NOVIEMBRE,24.24948132,29.82950891,18.66945372
1219,PAIMAS,2005,NOVIEMBRE,13.70129648,23.41376944,3.988823529
1220,SAPILLICA,2005,NOVIEMBRE,19.09568847,26.99602954,11.1953474
1221,PAITA,2005,DICIEMBRE,13.09212683,23.13815765,3.046096017
1222,AMOTAPE,2005,DICIEMBRE,14.05838235,21.17436541,6.942399288
1223,COL?N,2005,DICIEMBRE,18.03646598,27.01864909,9.054282878
1224,EL ARENAL,2005,DICIEMBRE,23.3640657,29.52431676,17.20381464
1225,LA HUACA,2005,DICIEMBRE,13.84510369,23.20222734,4.487980031
1226,TAMARINDO,2005,DICIEMBRE,24.98909551,31.72063695,18.25755406
1227,VICHAYAL,2005,DICIEMBRE,22.4714275,29.10662841,15.83622659
1228,CHULUCANAS,2005,DICIEMBRE,11.30493429,20.90287119,1.706997387
1229,BUENOS AIRES,2005,DICIEMBRE,14.07997806,22.17951869,5.980437439
1230,CHALACO,2005,DICIEMBRE,12.30643399,22.0327193,2.580148672
1231,LA MATANZA,2005,DICIEMBRE,15.02711547,24.74039271,5.313838242
1232,MORROP?N,2005,DICIEMBRE,22.58371926,30.66715726,14.50028126
1233,SALITRAL,2005,DICIEMBRE,14.83904762,22.01730159,7.660793651
1234,SAN JUAN DE BIGOTE,2005,DICIEMBRE,16.57864545,26.33966737,6.817623537
1235,SANTA CATALINA DE MOSSA,2005,DICIEMBRE,13.38339736,21.97868933,4.788105382
1236,SANTO DOMINGO,2005,DICIEMBRE,17.96727085,27.0592654,8.8752763
1237,YAMANGO,2005,DICIEMBRE,17.71586022,25.43978495,9.991935485
1238,HUANCABAMBA,2005,DICIEMBRE,21.75899367,30.52771047,12.99027687
1239,CANCHAQUE,2005,DICIEMBRE,11.9325,19.63473118,4.230268817
1240,EL CARMEN DE LA FRONTERA,2005,DICIEMBRE,22.92006771,29.62236894,16.21776648
1241,HUARMACA,2005,DICIEMBRE,16.25076805,23.01382488,9.487711215
1242,LALAQUIZ,2005,DICIEMBRE,16.19248561,23.85840436,8.526566871
1243,SAN MIGUEL DE EL FAIQUE,2005,DICIEMBRE,23.53815241,29.79032189,17.28598293
1244,SONDOR,2005,DICIEMBRE,16.23132031,24.06614946,8.396491162
1245,SONDORILLO,2005,DICIEMBRE,20.04538266,29.76610232,10.324663
1246,AYABACA,2005,DICIEMBRE,17.49183204,27.58309677,7.400567297
1247,FR?AS,2005,DICIEMBRE,25.02577622,29.41191794,20.6396345
1248,JILIL?,2005,DICIEMBRE,19.17041356,25.0532421,13.28758502
1249,LAGUNAS,2005,DICIEMBRE,11.60829493,21.64746544,1.569124424
1250,MONTERO,2005,DICIEMBRE,19.21908602,24.25537634,14.1827957
1251,PACAIPAMPA,2005,DICIEMBRE,23.80311809,29.80941544,17.79682074
1252,PAIMAS,2005,DICIEMBRE,11.80327801,20.89376032,2.712795699
1253,SAPILLICA,2005,DICIEMBRE,17.58232936,25.53675741,9.6279013
1254,PAITA,2005,ANUAL,17.31530027,26.4790262,8.151574351
1255,AMOTAPE,2005,ANUAL,19.68890592,26.79510568,12.58270617
1256,COL?N,2005,ANUAL,22.35738127,30.60242734,14.1123352
1257,EL ARENAL,2005,ANUAL,26.06698523,32.86990911,19.26406135
1258,LA HUACA,2005,ANUAL,21.40982251,29.96204473,12.85760029
1259,TAMARINDO,2005,ANUAL,26.50712347,32.7362677,20.27797924
1260,VICHAYAL,2005,ANUAL,23.95592745,30.462451,17.4494039
1261,CHULUCANAS,2005,ANUAL,18.47207733,27.11422509,9.829929567
1262,BUENOS AIRES,2005,ANUAL,16.12951579,23.748095,8.51093657
1263,CHALACO,2005,ANUAL,18.57839684,27.54204863,9.614745055
1264,LA MATANZA,2005,ANUAL,18.53537205,27.29910288,9.771641219
1265,MORROP?N,2005,ANUAL,25.36956714,32.70333554,18.03579874
1266,SALITRAL,2005,ANUAL,18.33930864,25.40572115,11.27289613
1267,SAN JUAN DE BIGOTE,2005,ANUAL,20.41185544,29.07234906,11.75136183
1268,SANTA CATALINA DE MOSSA,2005,ANUAL,15.90958115,23.9515183,7.867643995
1269,SANTO DOMINGO,2005,ANUAL,20.66396965,28.78360534,12.54433397
1270,YAMANGO,2005,ANUAL,20.50153257,27.98853315,13.01453198
1271,HUANCABAMBA,2005,ANUAL,25.48723541,33.08670718,17.88776363
1272,CANCHAQUE,2005,ANUAL,16.11387672,24.27075639,7.956997053
1273,EL CARMEN DE LA FRONTERA,2005,ANUAL,24.86154421,31.13885935,18.58422907
1274,HUARMACA,2005,ANUAL,18.43549455,24.69150041,12.17948869
1275,LALAQUIZ,2005,ANUAL,19.46051659,26.8037857,12.11724748
1276,SAN MIGUEL DE EL FAIQUE,2005,ANUAL,25.9653645,32.32424496,19.60648404
1277,SONDOR,2005,ANUAL,21.10809274,28.76665506,13.44953042
1278,SONDORILLO,2005,ANUAL,25.2898007,33.40097957,17.17862184
1279,AYABACA,2005,ANUAL,22.8919819,32.17592551,13.60803829
1280,FR?AS,2005,ANUAL,27.89867293,33.38839812,22.40894773
1281,JILIL?,2005,ANUAL,24.95484594,30.96677713,18.94291474
1282,LAGUNAS,2005,ANUAL,14.38991541,23.78185551,4.997975322
1283,MONTERO,2005,ANUAL,24.45776882,30.3750224,18.54051523
1284,PACAIPAMPA,2005,ANUAL,26.5857366,33.10136952,20.07010369
1285,PAIMAS,2005,ANUAL,16.41891154,25.17162793,7.666195146
1286,SAPILLICA,2005,ANUAL,21.39163691,28.96750721,13.81576662
1287,PAITA,2006,ENERO,13.12892159,24.1147337,2.143109475
1288,AMOTAPE,2006,ENERO,13.84736841,21.14251667,6.552220143
1289,COL?N,2006,ENERO,17.7872898,25.50791968,10.06665991
1290,EL ARENAL,2006,ENERO,23.36140417,29.16509801,17.55771033
1291,LA HUACA,2006,ENERO,14.28190256,22.96726218,5.596542952
1292,TAMARINDO,2006,ENERO,25.18880716,32.38764622,17.9899681
1293,VICHAYAL,2006,ENERO,24.17639557,30.42916988,17.92362125
1294,CHULUCANAS,2006,ENERO,11.42469515,21.17676487,1.672625436
1295,BUENOS AIRES,2006,ENERO,14.2087314,21.78408917,6.633373636
1296,CHALACO,2006,ENERO,11.79800034,22.15845742,1.437543247
1297,LA MATANZA,2006,ENERO,15.52422994,25.06566158,5.982798294
1298,MORROP?N,2006,ENERO,24.28048454,32.21664546,16.34432363
1299,SALITRAL,2006,ENERO,14.01682833,22.30576348,5.727893178
1300,SAN JUAN DE BIGOTE,2006,ENERO,16.38908116,26.2679202,6.510242123
1301,SANTA CATALINA DE MOSSA,2006,ENERO,11.70777227,21.13745092,2.278093611
1302,SANTO DOMINGO,2006,ENERO,17.3228983,27.17423907,7.471557524
1303,YAMANGO,2006,ENERO,19.11792709,28.44687651,9.788977669
1304,HUANCABAMBA,2006,ENERO,21.80393043,31.55901195,12.04884892
1305,CANCHAQUE,2006,ENERO,15.62163093,24.71310232,6.530159534
1306,EL CARMEN DE LA FRONTERA,2006,ENERO,22.63132831,29.31769625,15.94496036
1307,HUARMACA,2006,ENERO,15.30534452,22.59379927,8.016889783
1308,LALAQUIZ,2006,ENERO,15.37454397,23.6055238,7.143564139
1309,SAN MIGUEL DE EL FAIQUE,2006,ENERO,24.28839895,29.15264012,19.42415778
1310,SONDOR,2006,ENERO,17.26241266,25.98272134,8.542103979
1311,SONDORILLO,2006,ENERO,19.93161849,29.54943962,10.31379736
1312,AYABACA,2006,ENERO,14.77976343,24.60657533,4.952951536
1313,FR?AS,2006,ENERO,24.27463452,28.70239256,19.84687647
1314,JILIL?,2006,ENERO,18.65322276,26.17374279,11.13270273
1315,LAGUNAS,2006,ENERO,11.18726533,21.22246253,1.152068128
1316,MONTERO,2006,ENERO,19.70826714,25.14153943,14.27499485
1317,PACAIPAMPA,2006,ENERO,23.2799147,29.52471302,17.03511637
1318,PAIMAS,2006,ENERO,12.62920663,22.73898075,2.519432503
1319,SAPILLICA,2006,ENERO,17.63419439,25.87601738,9.392371405
1320,PAITA,2006,FEBRERO,16.00256391,26.86854887,5.136578947
1321,AMOTAPE,2006,FEBRERO,14.87492634,22.02302046,7.726832229
1322,COL?N,2006,FEBRERO,19.18173911,26.84008719,11.52339102
1323,EL ARENAL,2006,FEBRERO,23.63600185,29.88952208,17.38248163
1324,LA HUACA,2006,FEBRERO,15.50027638,23.80546345,7.195089308
1325,TAMARINDO,2006,FEBRERO,25.14749386,32.62918084,17.66580688
1326,VICHAYAL,2006,FEBRERO,23.86141731,31.02892792,16.69390671
1327,CHULUCANAS,2006,FEBRERO,14.35861783,23.71197394,5.005261722
1328,BUENOS AIRES,2006,FEBRERO,16.73746775,24.14396324,9.330972251
1329,CHALACO,2006,FEBRERO,15.17606858,25.55707566,4.795061505
1330,LA MATANZA,2006,FEBRERO,18.10090299,27.40368647,8.798119517
1331,MORROP?N,2006,FEBRERO,25.63526489,33.39139872,17.87913105
1332,SALITRAL,2006,FEBRERO,16.1357896,24.40500328,7.866575921
1333,SAN JUAN DE BIGOTE,2006,FEBRERO,20.02314565,29.49390303,10.55238828
1334,SANTA CATALINA DE MOSSA,2006,FEBRERO,13.79419916,22.94455507,4.643843246
1335,SANTO DOMINGO,2006,FEBRERO,19.74165745,29.05282731,10.43048758
1336,YAMANGO,2006,FEBRERO,21.2796661,29.9146059,12.64472631
1337,HUANCABAMBA,2006,FEBRERO,23.45962486,33.06702076,13.85222895
1338,CANCHAQUE,2006,FEBRERO,16.36517385,24.42210876,8.308238949
1339,EL CARMEN DE LA FRONTERA,2006,FEBRERO,23.30044755,30.30435007,16.29654503
1340,HUARMACA,2006,FEBRERO,16.28674928,25.08571163,7.48778693
1341,LALAQUIZ,2006,FEBRERO,17.72827488,25.9261523,9.530397466
1342,SAN MIGUEL DE EL FAIQUE,2006,FEBRERO,24.15025276,29.25884358,19.04166193
1343,SONDOR,2006,FEBRERO,19.26343058,27.71660427,10.81025689
1344,SONDORILLO,2006,FEBRERO,21.85223249,31.62561703,12.07884796
1345,AYABACA,2006,FEBRERO,17.19400946,26.38453312,8.003485808
1346,FR?AS,2006,FEBRERO,24.50618009,29.27907878,19.7332814
1347,JILIL?,2006,FEBRERO,19.33669704,26.47690942,12.19648466
1348,LAGUNAS,2006,FEBRERO,12.54601515,22.78798073,2.304049569
1349,MONTERO,2006,FEBRERO,20.59607094,26.10568396,15.08645792
1350,PACAIPAMPA,2006,FEBRERO,23.67670212,30.18066555,17.17273868
1351,PAIMAS,2006,FEBRERO,15.59070763,25.79036917,5.391046087
1352,SAPILLICA,2006,FEBRERO,19.21999273,27.42235539,11.01763007
1353,PAITA,2006,MARZO,17.70707603,28.82369614,6.590455932
1354,AMOTAPE,2006,MARZO,13.51916857,19.91766446,7.120672682
1355,COL?N,2006,MARZO,19.05245396,26.98652368,11.11838424
1356,EL ARENAL,2006,MARZO,26.19521805,33.37777588,19.01266023
1357,LA HUACA,2006,MARZO,19.98606832,27.96171383,12.01042281
1358,TAMARINDO,2006,MARZO,24.79840886,31.91336468,17.68345305
1359,VICHAYAL,2006,MARZO,24.71563984,31.1516324,18.27964728
1360,CHULUCANAS,2006,MARZO,15.65530493,25.24739936,6.063210509
1361,BUENOS AIRES,2006,MARZO,17.60378581,26.24978225,8.957789369
1362,CHALACO,2006,MARZO,17.17366824,27.68847731,6.658859178
1363,LA MATANZA,2006,MARZO,19.93586326,29.72100151,10.15072501
1364,MORROP?N,2006,MARZO,26.59378995,34.75313817,18.43444173
1365,SALITRAL,2006,MARZO,16.6313301,26.20374546,7.058914743
1366,SAN JUAN DE BIGOTE,2006,MARZO,21.21359991,31.03817193,11.38902789
1367,SANTA CATALINA DE MOSSA,2006,MARZO,16.16573515,25.94700158,6.38446871
1368,SANTO DOMINGO,2006,MARZO,20.86416036,30.70868232,11.01963841
1369,YAMANGO,2006,MARZO,23.35433257,32.45325163,14.25541351
1370,HUANCABAMBA,2006,MARZO,23.82727374,33.53341155,14.12113592
1371,CANCHAQUE,2006,MARZO,21.96516677,29.81114088,14.11919267
1372,EL CARMEN DE LA FRONTERA,2006,MARZO,25.35342742,32.97553502,17.73131982
1373,HUARMACA,2006,MARZO,16.2723956,25.32656215,7.218229039
1374,LALAQUIZ,2006,MARZO,19.53266261,28.34807083,10.71725439
